"variety","style"
"Malbec-Petit Verdot","Full-Bodied Red Wines"
"Frankovka","Medium-Bodied Red Wines"
"Roussanne-Viognier","Full-Bodied White Wines"
"Sciaccerellu","Light-Bodied Red Wines"
"Pinotage","Full-Bodied Red Wines"
"Roditis-Moschofilero","Light-Bodied White Wines"
"Vranec","Full-Bodied Red Wines"
"Incrocio Manzoni","Aromatic White Wines"
"Narince","Light-Bodied White Wines"
"Sparkling Blend","Champagne & Sparkling Wines"
"Portuguiser","Light-Bodied Red Wines"
"Lambrusco","Light-Bodied Red Wines"
"Babić","Medium-Bodied Red Wines"
"Muscat of Alexandria","Aromatic White Wines"
"Mavrodaphne","Dessert & Fortified Wines"
"Grüner Veltliner","Light-Bodied White Wines"
"Timorasso","Full-Bodied White Wines"
"Pinotage-Merlot","Full-Bodied Red Wines"
"Zinfandel","Full-Bodied Red Wines"
"Melon","Light-Bodied White Wines"
"Pignolo","Full-Bodied Red Wines"
"Syrah-Carignan","Full-Bodied Red Wines"
"Pinot Auxerrois","Light-Bodied White Wines"
"Rosato","Rosé Wines"
"Sangiovese Cabernet","Full-Bodied Red Wines"
"Malbec-Tannat","Full-Bodied Red Wines"
"Syrah-Cabernet","Full-Bodied Red Wines"
"Cannonau","Full-Bodied Red Wines"
"Albariño","Aromatic White Wines"
"Barbera","Medium-Bodied Red Wines"
"Garnacha-Cabernet","Full-Bodied Red Wines"
"Trebbiano","Light-Bodied White Wines"
"Cesanese","Medium-Bodied Red Wines"
"Viognier","Full-Bodied White Wines"
"Schwartzriesling","Light-Bodied Red Wines"
"Cabernet Blend","Full-Bodied Red Wines"
"Sousão","Full-Bodied Red Wines"
"Orange Muscat","Aromatic White Wines"
"Tinta Cao","Full-Bodied Red Wines"
"Durella","Light-Bodied White Wines"
"Verdeca","Light-Bodied White Wines"
"Erbaluce","Light-Bodied White Wines"
"Tinto Velasco","Medium-Bodied Red Wines"
"Cabernet Sauvignon","Full-Bodied Red Wines"
"Chardonnay-Albariño","Light-Bodied White Wines"
"Turbiana","Light-Bodied White Wines"
"Pinot Meunier","Light-Bodied Red Wines"
"Aragonês","Full-Bodied Red Wines"
"Muscadel","Dessert & Fortified Wines"
"Verdejo-Viura","Light-Bodied White Wines"
"Carineña","Full-Bodied Red Wines"
"Bombino Nero","Light-Bodied Red Wines"
"Aragonez","Full-Bodied Red Wines"
"Susumaniello","Full-Bodied Red Wines"
"Gros and Petit Manseng","Aromatic White Wines"
"Tempranillo-Garnacha","Full-Bodied Red Wines"
"Merlot-Cabernet","Full-Bodied Red Wines"
"Mansois","Medium-Bodied Red Wines"
"Treixadura","Light-Bodied White Wines"
"Vilana","Light-Bodied White Wines"
"Cabernet Sauvignon-Merlot-Shiraz","Full-Bodied Red Wines"
"Moscato Rosa","Aromatic White Wines"
"Athiri","Light-Bodied White Wines"
"Verdil","Light-Bodied White Wines"
"Kekfrankos","Medium-Bodied Red Wines"
"Bonarda","Medium-Bodied Red Wines"
"Nasco","Aromatic White Wines"
"Petit Meslier","Aromatic White Wines"
"Poulsard","Light-Bodied Red Wines"
"Grenache-Carignan","Full-Bodied Red Wines"
"Carignan-Grenache","Full-Bodied Red Wines"
"Gewürztraminer-Riesling","Aromatic White Wines"
"Vital","Light-Bodied White Wines"
"Nerello Mascalese","Medium-Bodied Red Wines"
"Marawi","Light-Bodied White Wines"
"Glera","Champagne & Sparkling Wines"
"Cariñena-Garnacha","Full-Bodied Red Wines"
"Xinomavro","Full-Bodied Red Wines"
"Merlot-Tannat","Full-Bodied Red Wines"
"Rhône-style White Blend","Full-Bodied White Wines"
"Sangiovese","Medium-Bodied Red Wines"
"Touriga Nacional","Full-Bodied Red Wines"
"Moscatel","Aromatic White Wines"
"Ansonica","Light-Bodied White Wines"
"Shiraz-Viognier","Full-Bodied Red Wines"
"Bovale","Full-Bodied Red Wines"
"Rivaner","Light-Bodied White Wines"
