"wine_name","style"
"Ixsir 2010 Altitudes Red","Medium-Bodied Red Wines"
"Sierra Cantabria 2010 Organza White","Aromatic White Wines"
"Des Voigne Cellars 2010 The Groove Red Red","Full-Bodied Red Wines"
"Venturini Massimino 2005 Riserva","Full-Bodied Red Wines"
"Kendall-Jackson 2010 Vintner's Reserve Summation White","Aromatic White Wines"
"Benvenuto de la Serna 2011 Trisagio Red","Medium-Bodied Red Wines"
"Borgo del Tiglio 2013 Studio di Bianco White","Aromatic White Wines"
"Domaine Bousquet 2011 Ameri Single Vineyard Red","Full-Bodied Red Wines"
"Tenuta di Biserno 2011 Insoglio del Cinghiale Red","Full-Bodied Red Wines"
"Alexandria Nicole 2009 Rock Star Red Destiny Ridge Vineyard Red","Full-Bodied Red Wines"
"Vecchia Cantina di Montepulciano 2009 Leone d'Oro Figli d'Italia","Full-Bodied Red Wines"
"Vinisterra 2007 Cascabel Red","Full-Bodied Red Wines"
"Bodegas Corellanas 2008 Viña Rubican Crianza Red","Medium-Bodied Red Wines"
"Dornier 2008 Donatus White White","Full-Bodied White Wines"
"Columbia Crest 2008 H3 Les Chevaux Red Wine Red","Full-Bodied Red Wines"
"MandraRossa 2009 Bonera Red","Full-Bodied Red Wines"
"Scilio 2009 Etna","Medium-Bodied Red Wines"
"Yorkville Cellars 2010 Eleanor of Aquitaine White","Aromatic White Wines"
"Stevens 2009 YesOuiSi Red Red","Medium-Bodied Red Wines"
"Fattoria Petriolo 2012 Chianti","Medium-Bodied Red Wines"
"Sorelli 2013 Chianti","Medium-Bodied Red Wines"
"Cantine Ravazzi 2011 Riserva","Medium-Bodied Red Wines"
"Château la Colombière 2014 Les Jacquaires White","Aromatic White Wines"
"Hedges Family Estate 2012 C.M.S. Red","Full-Bodied Red Wines"
"Eufloria 2014 Aromatic Blend White","Aromatic White Wines"
"Château Musar 2000 Gaston Hochar Red","Medium-Bodied Red Wines"
"Krupp Brothers 2009 Veraison Red","Full-Bodied Red Wines"
"Mocavero 2012 Red","Full-Bodied Red Wines"
"Val du Charron 2011 Erasmus Red","Medium-Bodied Red Wines"
"Tormaresca 2012 Neprica Red","Full-Bodied Red Wines"
"Varvaglione Vigne & Vini 2013 Schiaccianoci Red","Full-Bodied Red Wines"
"War Horse 2013 White","Champagne & Sparkling Wines"
"Borjón 2012 Diferente Red","Medium-Bodied Red Wines"
"Kestrel NV Lady in Red Edition 12 Red","Full-Bodied Red Wines"
"Ego Bodegas 2014 Gorú Red","Full-Bodied Red Wines"
"Pietra Santa 2005 Sassolino Red","Light-Bodied Red Wines"
"De Toren 2011 Z Red","Full-Bodied Red Wines"
"Prà 2011 Valpolicella Superiore Ripasso","Medium-Bodied Red Wines"
"Santa Ema 2009 Catalina Red","Full-Bodied Red Wines"
"Santa Luz 2009 Gran Corte Red","Full-Bodied Red Wines"
"Lorenz Martini 2008 Riserva Comitissa Brut White","Champagne & Sparkling Wines"
"Or Haganuz 2011 Marom Series Hillel and Dan Vineyards Cabernet Sauvignon-Cabernet Franc-Shiraz Red","Full-Bodied Red Wines"
"Alamos 2012 Red","Full-Bodied Red Wines"
"Scambia 2012 Freschetto","Light-Bodied White Wines"
"Kana 2007 Old Vines Red Red","Medium-Bodied Red Wines"
"Villa Gianna 2011 Innato Circeo White","Aromatic White Wines"
"Kamiak 2009 Rock Lake Red","Medium-Bodied Red Wines"
"Bolla 2009 Amarone della Valpolicella Classico","Full-Bodied Red Wines"
"Buglioni 2007 Riserva","Full-Bodied Red Wines"
"Cellers Unió 2010 Roureda Llicorella Clàssic Red","Medium-Bodied Red Wines"
"Valserrano 2013 Blanco Fermentado En Barrica White","Full-Bodied White Wines"
"Tenuta Santomè 2007 Moro'41 Red","Full-Bodied Red Wines"
"Vatistas 2007 Kidonitsa White","Aromatic White Wines"
"Tasca d'Almerita 2008 Regaleali White","Full-Bodied White Wines"
"J. Bookwalter 2012 Protagonist Red","Full-Bodied Red Wines"
"Falkner 2011 Amante Red","Full-Bodied Red Wines"
"J. Bookwalter 2012 Chapter 5 Red","Full-Bodied Red Wines"
"Les Vignobles Gueissard 2012 Cuvée G Red","Full-Bodied Red Wines"
"Marchesi de' Frescobaldi 2011 Nipozzano Vecchie Viti Riserva","Medium-Bodied Red Wines"
"Delaforce 2015 Red","Full-Bodied Red Wines"
"Early Mountain 2014 Aylor Red","Medium-Bodied Red Wines"
"Bodegas Medina 2005 Jaloco Red","Full-Bodied Red Wines"
"Palacios Remondo 2008 Propiedad","Medium-Bodied Red Wines"
"Castellare di Castellina 2010 Riserva","Medium-Bodied Red Wines"
"Castello di Monsanto 2009 Il Poggio Riserva","Medium-Bodied Red Wines"
"Castello di Monterinaldi 2008 Riserva","Medium-Bodied Red Wines"
"Château d'Arlay 2002 Vin de Paille White","Dessert & Fortified Wines"
"Vistalba 2011 Corte B Red","Full-Bodied Red Wines"
"Vino Con Brio 2006 Brilliant White Wine White","Aromatic White Wines"
"Principi di Spadafora 2006 Don Pietro White","Full-Bodied White Wines"
"Mike Ditka 2005 Kick Ass Red Red","Full-Bodied Red Wines"
"Storyteller 2011 Ever After Red","Full-Bodied Red Wines"
"Quady North 2009 Vinum Pro Virtus Aresenal Red","Full-Bodied Red Wines"
"Shed Horn Cellars 2010 Non Typical Red","Medium-Bodied Red Wines"
"Stuessy Cellars 2010 Principium Cuvee Red","Full-Bodied Red Wines"
"Tenuta Sant'Antonio 2011 Fontana","Full-Bodied White Wines"
"Early Mountain 2014 Block Eleven White","Aromatic White Wines"
"Canoe Ridge 2013 The Expedition Red","Full-Bodied Red Wines"
"Santa Lucia 2013 A'Luciano","Medium-Bodied Red Wines"
"Sergio Mottura 2013 Secco","Aromatic White Wines"
"Corte Rugolin 2008 Crosara de le Strie","Full-Bodied Red Wines"
"Collemassari 2004 Rigoleto","Full-Bodied Red Wines"
"Recanati 2005 Kosher Reserve Petit Syrah-Zinfandel Red","Full-Bodied Red Wines"
"Máté 2004 Albatro Red","Medium-Bodied Red Wines"
"Capoverso 2004 Red","Medium-Bodied Red Wines"
"Duemani 2005 Altrovino Red","Full-Bodied Red Wines"
"Upsidedown 2014 Method Red","Full-Bodied Red Wines"
"Va Piano 2009 Estate Uniti Red Red","Full-Bodied Red Wines"
"Beresan 2010 Stone River Red","Full-Bodied Red Wines"
"Caccia al Piano 1868 2011 Levia Gravia","Full-Bodied Red Wines"
"Casa de la Ermita 2010 Crianza Red","Medium-Bodied Red Wines"
"Cinnabar 2012 Zhu Sha Red","Medium-Bodied Red Wines"
"Darby 2013 Le Deuce White","Light-Bodied White Wines"
"Podere Sapaio 2006 Sapaio","Full-Bodied Red Wines"
"Poggio Mandorlo 2006 Poggiomandorlo","Full-Bodied Red Wines"
"Tenuta dell'Ornellaia 2007 Le Serre Nuove","Full-Bodied Red Wines"
"Batzella 2007 Tâm","Full-Bodied Red Wines"
"Castello di Bolgheri 2007 Bolgheri Superiore","Full-Bodied Red Wines"
"Poggio al Tesoro 2007 Sondraia","Full-Bodied Red Wines"
"Tenuta di Biserno 2007 Coronato","Full-Bodied Red Wines"
"Giovanni Chiappini 2007 Guado dè Gemoli","Full-Bodied Red Wines"
"Channing Daughters 1999 Fresh Red Red","Medium-Bodied Red Wines"
"Col di Bacche 2005 Rovente","Medium-Bodied Red Wines"
"Conde de Velázquez 2006 Condesa Real Red","Full-Bodied Red Wines"
"Gorman 2006 Zachary's Ladder Red","Full-Bodied Red Wines"
"Ceuso 2004 Ceuso Red","Full-Bodied Red Wines"
"Santa Ema 2005 Amplus One Red","Full-Bodied Red Wines"
"JR Wine 2006 The Devious Woman Red","Full-Bodied Red Wines"
"Frascole 2014 Chianti Rufina","Medium-Bodied Red Wines"
"Il Sassolo 2015 Barco Reale di Carmignano","Medium-Bodied Red Wines"
"Pagani de Marchi 2014 Montaleo Red","Medium-Bodied Red Wines"
"Scaranto 2015 Chianti","Medium-Bodied Red Wines"
"Vercingetorix VX 2014 Auzriel Melody En Blanc White","Aromatic White Wines"
"Fattoria Del Cerro 2015 Chianti Colli Senesi","Medium-Bodied Red Wines"
"Mendel 2007 Unus Red","Full-Bodied Red Wines"
"Tement 2013 Temento White","Aromatic White Wines"
"Bodega Volcanes de Chile 2010 Parinacota Limited Edition Red","Full-Bodied Red Wines"
"El Esteco 2013 Altimus Red","Full-Bodied Red Wines"
"Fabio Motta 2011 Pievi","Medium-Bodied Red Wines"
"Fattoria Terre del Marchesato 2011 Emilio Primo","Medium-Bodied Red Wines"
"Westbrook Wine Farm NV Lamanuzzi & Pantaleo Vineyard Gambono Red","Medium-Bodied Red Wines"
"Aldegheri 2006 Prunea","Light-Bodied Red Wines"
"Murrieta's Well 2015 The Whip White","Champagne & Sparkling Wines"
"Smith & Hook 2014 Proprietary Red","Medium-Bodied Red Wines"
"Ancient Peaks 2012 Renegade Margarita Vineyard Red","Medium-Bodied Red Wines"
"Argiolas 2012 Korem Red","Full-Bodied Red Wines"
"Argiolas 2013 Costera","Medium-Bodied Red Wines"
"Cape Barren 2013 Native Goose Red","Medium-Bodied Red Wines"
"Fietri 2008 Chianti Classico","Medium-Bodied Red Wines"
"La Castellina 2010 Tommaso Bojola","Medium-Bodied Red Wines"
"Lanciola 2009 Le Masse di Greve Riserva","Medium-Bodied Red Wines"
"Castello di Monterinaldi 2009 Riserva","Medium-Bodied Red Wines"
"Castello di Poppiano 2010 Riserva","Medium-Bodied Red Wines"
"Buena Vista 2012 The Count Red","Medium-Bodied Red Wines"
"Château Deffends 2012 Red","Medium-Bodied Red Wines"
"Ceralti 2012 Alfeo","Full-Bodied Red Wines"
"Giornata 2012 Gemellaia Red","Medium-Bodied Red Wines"
"Swedish Hill 2012 Cabernet Franc-Lemberger Red","Medium-Bodied Red Wines"
"River Star 2011 Eclipse Red","Medium-Bodied Red Wines"
"Soquel Vineyards 2012 Trinity Rosso Red","Medium-Bodied Red Wines"
"Cyan 2005 Selección Personal","Full-Bodied Red Wines"
"Domaine de la Petite Cassagne 2008 White","Full-Bodied White Wines"
"Banfi 2010 Chianti Classico","Medium-Bodied Red Wines"
"Dehesas y Viñedos de Navamarín 2008 Aldonza Navamarín Limited Edition Red","Full-Bodied Red Wines"
"Wohlmuth 2012 Aristos Red","Medium-Bodied Red Wines"
"Château Paradis 2010 Red","Full-Bodied Red Wines"
"Château Vartely 2015 Indvido Red","Full-Bodied Red Wines"
"Finca Agostino 2013 Familia Red","Medium-Bodied Red Wines"
"Firriato 2016 Le Sabbie dell'Etna Bianco","Full-Bodied White Wines"
"Brutocao 2014 Quadriga Hopland Ranches Estate Bottled Red","Medium-Bodied Red Wines"
"Clos Venturi 2016 White","Full-Bodied White Wines"
"Domaine Torraccia 2013 Oriu Réserve de Torraccia Red","Full-Bodied Red Wines"
"Galil Mountain 2014 Ela Red","Medium-Bodied Red Wines"
"Gino Fasoli 2015 Valpo","Full-Bodied Red Wines"
"Hess 2014 19 Block Mountain Cuvée Red","Full-Bodied Red Wines"
"Borgo Scopeto 2010 Chianti Classico","Medium-Bodied Red Wines"
"Kenwood 2012 Vintage White","Full-Bodied White Wines"
"La Ciarliana 2010 Rosso di Montepulciano","Medium-Bodied Red Wines"
"Podere La Cappella 2010 Chianti Classico","Medium-Bodied Red Wines"
"Antico Colle 2011 Rosso di Montepulciano","Medium-Bodied Red Wines"
"Nicosia 2009 Fondo Filara","Medium-Bodied Red Wines"
"Nicosia 2009 Fondo Filara","Medium-Bodied Red Wines"
"Planeta 2009 La Segreta Red","Medium-Bodied Red Wines"
"Donnafugata 2009 Sedàra Red","Medium-Bodied Red Wines"
"Duca di Salaparuta 2008 Triskelè Red","Medium-Bodied Red Wines"
"Bargetto 2005 Rosso Red","Medium-Bodied Red Wines"
"Domingo Molina 2006 Blend Malbec-Merlot-Tannat Red","Full-Bodied Red Wines"
"Den Hoed 2007 Marie's View Red","Medium-Bodied Red Wines"
"Hightower 2010 Red Mountain Reserve Red","Full-Bodied Red Wines"
"J. Bookwalter 2011 Protagonist Red","Full-Bodied Red Wines"
"Tenuta Argentiera 2011 Poggio ai Ginepri","Full-Bodied Red Wines"
"Canneto 2012 Rosso di Montepulciano","Medium-Bodied Red Wines"
"Pinord 2007 +7 Red","Full-Bodied Red Wines"
"Cabreo 2011 Il Borgo Red","Medium-Bodied Red Wines"
"Domaine Roumagnac 2012 O Grand R Red","Medium-Bodied Red Wines"
"Estampa 2013 Fina Reserva Ensamblaje Cabernet Sauvignon-Malbec-Syrah Red","Full-Bodied Red Wines"
"Mazzei 2012 Belguardo Serrata Red","Medium-Bodied Red Wines"
"OT 2009 Oliviero Toscani Red","Medium-Bodied Red Wines"
"Pratesi 2012 Carmione Red","Medium-Bodied Red Wines"
"Tenuta degli Dei 2012 Le Redini Red","Medium-Bodied Red Wines"
"Tenuta di Trinoro 2012 Red","Full-Bodied Red Wines"
"Viña el Principal 2011 Memorias Red","Full-Bodied Red Wines"
"Von Schleinitz 2015 Underdog Dry Red","Light-Bodied Red Wines"
"Borra 2010 White Fusion White","Full-Bodied White Wines"
"Vecchia Cantina di Montepulciano 2013 Chianti","Medium-Bodied Red Wines"
"El Molet 2013 Red","Medium-Bodied Red Wines"
"Fattoria di Petrognano 2013 Meme","Medium-Bodied Red Wines"
"Dreolino 2011 Riserva","Medium-Bodied Red Wines"
"Fattoria di Sammontana 2013 Chianti","Medium-Bodied Red Wines"
"Krupp Brothers 2009 The Doctor Red","Full-Bodied Red Wines"
"Tenuta di Biserno 2008 Il Pino di Biserno Red","Full-Bodied Red Wines"
"Tenuta di Valgiano 2009 Red","Medium-Bodied Red Wines"
"Convergence Zone 2011 Squall Line Red","Full-Bodied Red Wines"
"Son Bordils 2003 Negre Red","Medium-Bodied Red Wines"
"Torres 2003 Gran Sangre de Toro Red","Full-Bodied Red Wines"
"Cellar Marti Fabra Carreras 2003 Masia Carreras Red","Full-Bodied Red Wines"
"Elena Walch 2008 Cashmere Passito 375ml Red","Dessert & Fortified Wines"
"Killibinbin 2013 Secrets Red","Medium-Bodied Red Wines"
"Roque Colás 2012 Viticultura Ecológica Red","Medium-Bodied Red Wines"
"Chopo 2014 Red","Medium-Bodied Red Wines"
"Fenestra 2010 Conjugation Red","Medium-Bodied Red Wines"
"Lobo 2014 Howl Wulff Vineyards Custom Red","Medium-Bodied Red Wines"
"Shiloh Winery 2013 Legend Red","Medium-Bodied Red Wines"
"Giuseppe Gabbas 2011 Arbòre","Medium-Bodied Red Wines"
"Agricola Punica 2013 Montessu Red","Medium-Bodied Red Wines"
"Argiolas 2012 Perdera","Medium-Bodied Red Wines"
"Bulgariana 2009 Imperial Red","Medium-Bodied Red Wines"
"K Cellars 2009 Red","Medium-Bodied Red Wines"
"Katarzyna 2013 Mezzek Red","Medium-Bodied Red Wines"
"Clos Berenguer del Molar 2012 Selecció Red","Full-Bodied Red Wines"
"Gunter Triebaumer 2015 Spätlese Cuvée White","Aromatic White Wines"
"Le Pianelle 2012 Bramaterra","Medium-Bodied Red Wines"
"Cottonwood Canyon 2012 Bistro Red","Medium-Bodied Red Wines"
"Tsantali 2006 Kanenas Maronia Vineyards Red","Medium-Bodied Red Wines"
"Marqués de Cáceres 2007 Barrel Fermented White White","Full-Bodied White Wines"
"Waterbrook 2016 Mélange Founder's White","Full-Bodied White Wines"
"Naggiar 2016 Mama Mia Estate Grown White","Aromatic White Wines"
"Portal del Montsant 2015 Bruberry Blanc White","Full-Bodied White Wines"
"Rideau 2012 Château Duplantier Cuvée Red","Medium-Bodied Red Wines"
"Longoria 2011 Blues Cuvée Red","Medium-Bodied Red Wines"
"McNab Ridge 2010 Coro Mendocino Red","Medium-Bodied Red Wines"
"Coup de Grace 2011 Red","Medium-Bodied Red Wines"
"Bodegas Silvano Garcia 2006 Viña Honda Tinto Red","Medium-Bodied Red Wines"
"Le Vigne di Domenico 2007 Coure di Vigne Red","Medium-Bodied Red Wines"
"Le Vigne di Domenico 2007 Ame de la Vigne Red","Medium-Bodied Red Wines"
"Isole e Olena 2013 Chianti Classico","Medium-Bodied Red Wines"
"Castello di Ama 2011 Vigneto La Casuccia Gran Selezione","Full-Bodied Red Wines"
"Domaine d'Escausses 2012 La Vigne de l'Oubli White","Light-Bodied White Wines"
"Cecchi 2013 Riserva di Famiglia","Full-Bodied Red Wines"
"Colle Spinello 2007 Sine Terra Red","Medium-Bodied Red Wines"
"Aresti 2010 Family Collection Red","Medium-Bodied Red Wines"
"Banfi 2011 Summus Red","Medium-Bodied Red Wines"
"Celler Pasanau 2012 Ceps Nous Red","Medium-Bodied Red Wines"
"Château Bouissel 2011 Le Bouissel Red","Medium-Bodied Red Wines"
"Tenuta Sette Cieli 2011 Yantra Red","Full-Bodied Red Wines"
"Leopoldo I di Toscana 2011 Boschivo Red","Medium-Bodied Red Wines"
"MCV 2013 1105 Red","Medium-Bodied Red Wines"
"Quivira 2013 Montepulciano-Sangiovese Red","Full-Bodied Red Wines"
"Cecchi 2011 Vino Nobile di Montepulciano","Medium-Bodied Red Wines"
"Fernández Gómez 2013 Selección Familia White","Full-Bodied White Wines"
"Vistalba 2005 Corte B Red","Full-Bodied Red Wines"
"Pittnauer 2005 Pannobile Red","Medium-Bodied Red Wines"
"Schloss Halbturn 2004 Impérial Red","Medium-Bodied Red Wines"
"Schloss Halbturn 2004 Koenigsegg Reserve Red","Medium-Bodied Red Wines"
"JLC 2004 Palette Red Table Wine Red","Medium-Bodied Red Wines"
"Buty 2006 Sémillon-Sauvignon Blanc White","Aromatic White Wines"
"DeLille 2005 D2 Red","Full-Bodied Red Wines"
"I Balzini 1998 White Label Red","Medium-Bodied Red Wines"
"Mas de Monistrol 2004 MM Reserva Privada Red","Medium-Bodied Red Wines"
"Sunstone 2005 Founder's Reserve Red","Medium-Bodied Red Wines"
"Crane Brothers 2005 Crane Ranch Vineyard Brodacious Red","Medium-Bodied Red Wines"
"Tornatore 2014 Trimarchisa","Medium-Bodied Red Wines"
"Bodega de Edgar 2010 El CabRhône Red","Full-Bodied Red Wines"
"Calendar Girl 2009 Bodacious Brunette Red","Medium-Bodied Red Wines"
"Cameron Hughes 2009 Lot 348 Field Blend Red","Full-Bodied Red Wines"
"Annefield Vineyards NV White","Full-Bodied White Wines"
"Georges Vigouroux 2012 Gouleyant White","Aromatic White Wines"
"Old Winery 2011 Red","Medium-Bodied Red Wines"
"Vivác Winery 2008 Divino Red","Full-Bodied Red Wines"
"JR Wine 2011 The Devious Woman Red","Full-Bodied Red Wines"
"Kuentz-Bas 2011 White","Aromatic White Wines"
"Rieutort 2011 Red","Medium-Bodied Red Wines"
"Tarara 2007 Meritage Red","Full-Bodied Red Wines"
"Riché NV Red","Medium-Bodied Red Wines"
"Terras Gauda 2015 O Rosal Black Label White","Aromatic White Wines"
"Ambassador Vineyard 2014 Estate Grown Diplomat Red","Full-Bodied Red Wines"
"Duca del Frassino 2009 Merlot and Pinot Noir 3 liter BIB Red","Medium-Bodied Red Wines"
"Domaine Damiens 2014 Tradition Red","Full-Bodied Red Wines"
"Guado al Melo 2011 Jassarte Red","Medium-Bodied Red Wines"
"Paso a Paso 2013 Made With Organic Grapes White","Full-Bodied White Wines"
"Aia Vecchia 2012 Lagone Red","Medium-Bodied Red Wines"
"I Veroni 2013 Elacaia Red","Full-Bodied Red Wines"
"Hudson-Chatham 2014 Le Colonel North Creek Vineyards Red","Medium-Bodied Red Wines"
"Woodstock Collection NV Honey Pie White","Dessert & Fortified Wines"
"Zymè 2003 La Mattonara Riserva","Full-Bodied Red Wines"
"Enrique Mendoza 2010 Santa Rosa Red","Full-Bodied Red Wines"
"Rocca di Fabbri 2010 Montefalco Rosso","Medium-Bodied Red Wines"
"Diadema 2012 D'Amare White","Aromatic White Wines"
"Gresser NV Recumbent Red","Medium-Bodied Red Wines"
"Hoyt Family Vineyards NV Dylema Red","Medium-Bodied Red Wines"
"Fattori 2010 Col de la Bastia","Full-Bodied Red Wines"
"Santi 2008 Proemio","Full-Bodied Red Wines"
"Vall Llach 2010 Porrera Vi de Vila Red","Full-Bodied Red Wines"
"Château Flotis 2012 Red","Medium-Bodied Red Wines"
"Domaine d'Escausses 2014 Cuvée des Drilles Red","Medium-Bodied Red Wines"
"Donna Laura 2014 Bramosia","Medium-Bodied Red Wines"
"Fonte alla Selva 2014 Chianti Classico","Medium-Bodied Red Wines"
"Ignacio Marín 2005 Barón de Lajoyosa Gran Reserva Red","Full-Bodied Red Wines"
"Valdipiatta 2014 Rosso di Montepulciano","Medium-Bodied Red Wines"
"Bibbiano 2014 Chianti Classico","Medium-Bodied Red Wines"
"Boscarelli 2014 Prugnolo","Medium-Bodied Red Wines"
"Castello di Meleto 2013 Chianti Classico","Medium-Bodied Red Wines"
"Longevity 2011 deb-ru-vée Red","Medium-Bodied Red Wines"
"La Zorra 2013 Teso Blanco White","Aromatic White Wines"
"Istine 2013 Vigna Cavarchione","Medium-Bodied Red Wines"
"Celler La Bollidora 2005 Saó Red","Medium-Bodied Red Wines"
"Hopkins Vineyard 2006 Duet White","Full-Bodied White Wines"
"Bink 2007 Melange Red","Full-Bodied Red Wines"
"Hunt Cellars 2005 Red Velvet Red","Full-Bodied Red Wines"
"Koutsoyiannopoulos 2006 Red","Medium-Bodied Red Wines"
"Dionysos NV Red Wine Red","Medium-Bodied Red Wines"
"Nera 2010 Sorel Red","Medium-Bodied Red Wines"
"Brancaia 2010 Il Blu Red","Full-Bodied Red Wines"
"Claudia Papayianni 2013 White","Aromatic White Wines"
"Le Casematte 2012 Quattroenne","Medium-Bodied Red Wines"
"Williamson Vineyard 2012 Harvest Moon Red","Medium-Bodied Red Wines"
"Gagliole 2013 Rubiolo","Medium-Bodied Red Wines"
"Bruni 2015 Marteto","Medium-Bodied Red Wines"
"Campinuovi 2014 Montecucco","Medium-Bodied Red Wines"
"Tenuta Sette Cieli 2014 Yantra Red","Medium-Bodied Red Wines"
"Banfi 2013 Bel Nero Red","Medium-Bodied Red Wines"
"Castello di Bossi 2012 Corbaia Red","Medium-Bodied Red Wines"
"Hatzimichalis 2015 Lefkos White","Aromatic White Wines"
"Rocca di Frassinello 2013 Maremma Toscana","Medium-Bodied Red Wines"
"14 Hands 2013 Hot to Trot White","Light-Bodied White Wines"
"Bocopa 2014 Conde de Alicante Red","Medium-Bodied Red Wines"
"The Prisoner 2013 Red","Full-Bodied Red Wines"
"Château Flotis 2010 L de Flotis Red","Medium-Bodied Red Wines"
"Domaine du Tariquet 2014 Classic White","Aromatic White Wines"
"Il Palazzo 2011 Moro Rosso Red","Medium-Bodied Red Wines"
"Cusumano 2008 Noà Red","Full-Bodied Red Wines"
"Spier 2016 Beyond Ordinary Red","Full-Bodied Red Wines"
"Shiloh Winery 2006 Merlot-Shiraz Kosher Red","Full-Bodied Red Wines"
"El Coto 2005 Real Reserva","Full-Bodied Red Wines"
"Galardi 2010 Terra di Lavoro Red","Full-Bodied Red Wines"
"Dei 2013 Vino Nobile di Montepulciano","Medium-Bodied Red Wines"
"Sokol Blosser NV Evolution Fifth Edition Winemaker's Big Time Red","Medium-Bodied Red Wines"
"Spann Vineyards NV Betsy's Backacher Red","Medium-Bodied Red Wines"
"Sunfire 2003 I Red","Medium-Bodied Red Wines"
"the Ghost of 413 2010 Red","Medium-Bodied Red Wines"
"Parés Baltà 2011 Blanc de Pacs Organic Farming Parellada-Xarel-lo-Macabeu White","Champagne & Sparkling Wines"
"Huguet de Can Feixes 2016 Blanc Selecció White","Aromatic White Wines"
"Portal del Montsant 2013 Santbru White","Full-Bodied White Wines"
"Casa Castillo 2013 Las Gravas Red","Medium-Bodied Red Wines"
"Clos Saint-Joseph 2005 Villars-sur-Var Blanc de Blancs White","Champagne & Sparkling Wines"
"Principe Corsini Fattoria Le Corti 1997 Sant'Andrea Corsini","Dessert & Fortified Wines"
"Falesco 2007 Passirò White","Aromatic White Wines"
"Lis Neris 2007 Tal Lùc White","Aromatic White Wines"
"Michael David 2011 Petite Petit Red","Full-Bodied Red Wines"
"Tenuta di Vaira 2010 Bolgherese","Full-Bodied Red Wines"
"Angosto 2011 Buffalo Red","Medium-Bodied Red Wines"
"Galil Mountain 2011 Alon Red","Full-Bodied Red Wines"
"Gattavecchi 2010 Padri Serviti Riserva","Medium-Bodied Red Wines"
"Gattavecchi 2010 Riserva","Full-Bodied Red Wines"
"Agricola Tamburini 2011 Italo Riserva","Medium-Bodied Red Wines"
"Boscarelli 2012 Vino Nobile di Montepulciano","Medium-Bodied Red Wines"
"Casale Daviddi 2011 Vino Nobile di Montepulciano","Medium-Bodied Red Wines"
"Castel di Pugna 2012 Ellera","Medium-Bodied Red Wines"
"Pieve de' Pitti 2011 Cerretello","Medium-Bodied Red Wines"
"Podere Capaccia 2012 Chianti Classico","Medium-Bodied Red Wines"
"Darcie Kent Vineyards 2013 Firepit Red","Medium-Bodied Red Wines"
"Atrea 2013 Old Soul Red","Full-Bodied Red Wines"
"Príncipe de Viana 2006 Reserva Red","Full-Bodied Red Wines"
"Edgebaston 2010 The Berry Box Red","Full-Bodied Red Wines"
"Fabiano 2007 Vajo Red","Medium-Bodied Red Wines"
"La Conreria d'Scala Dei 2009 La Conreria Red","Full-Bodied Red Wines"
"Cellers Melis 2005 Elix Red","Full-Bodied Red Wines"
"Villa Canestrari 2005 10 Anni Riserva","Full-Bodied Red Wines"
"Corte dei Papi 2012 San Magno","Medium-Bodied Red Wines"
"Domìni Veneti 2008 Monte","Full-Bodied Red Wines"
"Kontos 2014 Gossamer White","Light-Bodied White Wines"
"Astorre Noti 2012 Chianti Classico","Medium-Bodied Red Wines"
"Canneto 2012 Vino Nobile di Montepulciano","Full-Bodied Red Wines"
"Castel di Pugna 2011 Villa Cambi","Medium-Bodied Red Wines"
"Castello di Monastero 2012 Chianti Classico","Medium-Bodied Red Wines"
"Columbia Winery 2012 Limited Release Element Red","Medium-Bodied Red Wines"
"Cor Cellars 2014 ALBA Gewüztraminer-Pinot Gris White","Aromatic White Wines"
"Dreolino 2013 Chianti Rufina","Medium-Bodied Red Wines"
"Gravel Bar 2013 Alluvial Red","Medium-Bodied Red Wines"
"Marziano Abbona 2008 Zerosolfiti Red","Full-Bodied Red Wines"
"Château Los Boldos 2008 Amalia Red","Full-Bodied Red Wines"
"Argiolas 2005 Turriga Red","Full-Bodied Red Wines"
"Cupcake 2014 Red Velvet Red","Medium-Bodied Red Wines"
"Rubus 2015 White","Light-Bodied White Wines"
"14 Hands 2015 Hot to Trot White","Light-Bodied White Wines"
"Mellisoni 2016 45 Degrees White","Aromatic White Wines"
"Schäfer 2013 Mettenheimer Rheinhessen Red Estate Bottled Red","Medium-Bodied Red Wines"
"Screenplay Wines 2010 White","Full-Bodied White Wines"
"Sineann 2011 Abondante Red","Full-Bodied Red Wines"
"Henschke 2013 Keyneton Euphonium Red","Full-Bodied Red Wines"
"Daou 2013 Mayote Red","Medium-Bodied Red Wines"
"Justin 2013 Savant Red","Full-Bodied Red Wines"
"Tsantali 2011 Metoxi Chromitsa X Single Vineyard Assyrtico-Athiri-Sauvignon Blanc White","Aromatic White Wines"
"Collevite 2012 White","Light-Bodied White Wines"
"Marsiliana 2004 Red","Medium-Bodied Red Wines"
"Anakena 2007 Alwa Red","Medium-Bodied Red Wines"
"Capezzana 2006 Trefiano","Full-Bodied Red Wines"
"Mazzei 2009 Badiola Red","Full-Bodied Red Wines"
"Michael Florentino 2008 Miscolato Red","Medium-Bodied Red Wines"
"Mocine 2007 Otto Rintocchi Red","Medium-Bodied Red Wines"
"Krupp Brothers 2007 The Doctor Red","Full-Bodied Red Wines"
"Hauner 2012 Antonello Rosso Red","Medium-Bodied Red Wines"
"Indigené 2014 Philanthropist Red","Medium-Bodied Red Wines"
"La Honda Winery 2015 Exponent Red","Medium-Bodied Red Wines"
